id	gene	a	d	mu_r	mu_v
s0	S0	201	288	0.999	0.5
s1	S1	223	325	0.999	0.5
s2	S2	200	307	0.999	0.5
s3	S3	206	297	0.999	0.5
s4	S4	214	314	0.999	0.5
s5	S5	192	298	0.999	0.5
s6	S6	222	301	0.999	0.5
s7	S7	202	283	0.999	0.5
s8	S8	199	307	0.999	0.5
s9	S9	194	289	0.999	0.5
s10	S10	210	307	0.999	0.5
s11	S11	221	318	0.999	0.5
s12	S12	199	310	0.999	0.5
s13	S13	197	295	0.999	0.5
s14	S14	177	271	0.999	0.5
s15	S15	207	311	0.999	0.5
s16	S16	217	320	0.999	0.5
s17	S17	198	307	0.999	0.5
s18	S18	192	278	0.999	0.5
s19	S19	209	293	0.999	0.5
s20	S20	176	274	0.999	0.5
s21	S21	181	260	0.999	0.5
s22	S22	196	282	0.999	0.5
s23	S23	171	268	0.999	0.5
s24	S24	203	321	0.999	0.5
s25	S25	192	293	0.999	0.5
s26	S26	192	293	0.999	0.5
s27	S27	191	279	0.999	0.5
s28	S28	200	302	0.999	0.5
s29	S29	216	316	0.999	0.5
s30	S30	211	299	0.999	0.5
s31	S31	221	337	0.999	0.5
s32	S32	205	300	0.999	0.5
s33	S33	196	309	0.999	0.5
s34	S34	207	318	0.999	0.5
s35	S35	219	308	0.999	0.5
s36	S36	211	311	0.999	0.5
s37	S37	190	270	0.999	0.5
s38	S38	179	282	0.999	0.5
s39	S39	214	310	0.999	0.5
s40	S40	175	274	0.999	0.5
s41	S41	214	322	0.999	0.5
s42	S42	206	284	0.999	0.5
s43	S43	214	301	0.999	0.5
s44	S44	179	273	0.999	0.5
s45	S45	203	307	0.999	0.5
s46	S46	196	290	0.999	0.5
s47	S47	226	326	0.999	0.5
s48	S48	196	294	0.999	0.5
s49	S49	190	281	0.999	0.5
s50	S50	241	302	0.999	0.5
s51	S51	244	279	0.999	0.5
s52	S52	243	308	0.999	0.5
s53	S53	249	307	0.999	0.5
s54	S54	268	316	0.999	0.5
s55	S55	255	316	0.999	0.5
s56	S56	213	266	0.999	0.5
s57	S57	226	293	0.999	0.5
s58	S58	241	303	0.999	0.5
s59	S59	262	312	0.999	0.5
s60	S60	256	317	0.999	0.5
s61	S61	234	305	0.999	0.5
