id	gene	a	d	mu_r	mu_v
s0	S0	187	295	0.999	0.5
s1	S1	227	338	0.999	0.5
s2	S2	189	293	0.999	0.5
s3	S3	194	302	0.999	0.5
s4	S4	215	322	0.999	0.5
s5	S5	212	274	0.999	0.5
s6	S6	237	303	0.999	0.5
s7	S7	216	272	0.999	0.5
s8	S8	233	309	0.999	0.5
s9	S9	243	317	0.999	0.5
s10	S10	267	298	0.999	0.5
s11	S11	274	317	0.999	0.5
s12	S12	281	313	0.999	0.5
s13	S13	266	309	0.999	0.5
s14	S14	264	305	0.999	0.5
s15	S15	278	301	0.999	0.5
s16	S16	259	275	0.999	0.5
s17	S17	295	311	0.999	0.5
s18	S18	303	324	0.999	0.5
s19	S19	287	304	0.999	0.5
s20	S20	293	298	0.999	0.5
s21	S21	283	294	0.999	0.5
s22	S22	294	300	0.999	0.5
s23	S23	296	303	0.999	0.5
s24	S24	286	295	0.999	0.5
