id	gene	a	d	mu_r	mu_v
s0	S0	187	306	0.999	0.5
s1	S1	217	334	0.999	0.5
s2	S2	218	305	0.999	0.5
s3	S3	200	303	0.999	0.5
s4	S4	217	334	0.999	0.5
s5	S5	196	284	0.999	0.5
s6	S6	214	310	0.999	0.5
s7	S7	218	305	0.999	0.5
s8	S8	208	316	0.999	0.5
s9	S9	189	282	0.999	0.5
s10	S10	189	279	0.999	0.5
s11	S11	205	314	0.999	0.5
s12	S12	200	302	0.999	0.5
s13	S13	198	295	0.999	0.5
s14	S14	212	314	0.999	0.5
s15	S15	195	291	0.999	0.5
s16	S16	184	270	0.999	0.5
s17	S17	196	273	0.999	0.5
s18	S18	205	313	0.999	0.5
s19	S19	192	311	0.999	0.5
s20	S20	199	291	0.999	0.5
s21	S21	202	299	0.999	0.5
s22	S22	238	332	0.999	0.5
s23	S23	209	301	0.999	0.5
s24	S24	201	308	0.999	0.5
s25	S25	215	315	0.999	0.5
s26	S26	188	290	0.999	0.5
s27	S27	210	306	0.999	0.5
s28	S28	218	304	0.999	0.5
s29	S29	209	307	0.999	0.5
s30	S30	208	300	0.999	0.5
s31	S31	200	288	0.999	0.5
s32	S32	226	316	0.999	0.5
s33	S33	195	275	0.999	0.5
s34	S34	171	269	0.999	0.5
s35	S35	194	292	0.999	0.5
s36	S36	201	305	0.999	0.5
s37	S37	195	284	0.999	0.5
s38	S38	216	312	0.999	0.5
s39	S39	189	290	0.999	0.5
s40	S40	181	271	0.999	0.5
s41	S41	189	301	0.999	0.5
s42	S42	218	308	0.999	0.5
s43	S43	155	237	0.999	0.5
s44	S44	207	313	0.999	0.5
s45	S45	198	289	0.999	0.5
s46	S46	196	297	0.999	0.5
s47	S47	207	287	0.999	0.5
s48	S48	195	296	0.999	0.5
s49	S49	200	327	0.999	0.5
s50	S50	191	287	0.999	0.5
s51	S51	232	339	0.999	0.5
s52	S52	221	320	0.999	0.5
s53	S53	195	302	0.999	0.5
s54	S54	190	296	0.999	0.5
s55	S55	190	286	0.999	0.5
s56	S56	191	274	0.999	0.5
s57	S57	199	303	0.999	0.5
s58	S58	196	303	0.999	0.5
s59	S59	191	298	0.999	0.5
s60	S60	203	306	0.999	0.5
s61	S61	211	307	0.999	0.5
s62	S62	184	301	0.999	0.5
s63	S63	196	297	0.999	0.5
s64	S64	193	296	0.999	0.5
s65	S65	202	282	0.999	0.5
s66	S66	200	294	0.999	0.5
s67	S67	201	305	0.999	0.5
s68	S68	201	300	0.999	0.5
s69	S69	221	333	0.999	0.5
s70	S70	195	275	0.999	0.5
s71	S71	234	332	0.999	0.5
s72	S72	212	326	0.999	0.5
s73	S73	206	304	0.999	0.5
s74	S74	211	305	0.999	0.5
s75	S75	199	302	0.999	0.5
s76	S76	199	278	0.999	0.5
s77	S77	214	315	0.999	0.5
s78	S78	206	298	0.999	0.5
s79	S79	214	324	0.999	0.5
s80	S80	210	302	0.999	0.5
s81	S81	203	295	0.999	0.5
s82	S82	192	294	0.999	0.5
s83	S83	208	300	0.999	0.5
s84	S84	197	298	0.999	0.5
s85	S85	208	316	0.999	0.5
s86	S86	190	293	0.999	0.5
s87	S87	211	305	0.999	0.5
s88	S88	198	290	0.999	0.5
s89	S89	211	292	0.999	0.5
s90	S90	203	311	0.999	0.5
s91	S91	217	314	0.999	0.5
s92	S92	212	318	0.999	0.5
s93	S93	212	296	0.999	0.5
s94	S94	181	292	0.999	0.5
s95	S95	207	293	0.999	0.5
s96	S96	214	313	0.999	0.5
s97	S97	201	278	0.999	0.5
s98	S98	210	301	0.999	0.5
s99	S99	210	302	0.999	0.5
s100	S100	212	320	0.999	0.5
s101	S101	209	304	0.999	0.5
s102	S102	191	271	0.999	0.5
s103	S103	200	296	0.999	0.5
s104	S104	204	284	0.999	0.5
s105	S105	194	296	0.999	0.5
s106	S106	204	309	0.999	0.5
s107	S107	211	305	0.999	0.5
s108	S108	223	332	0.999	0.5
s109	S109	187	292	0.999	0.5
s110	S110	196	277	0.999	0.5
s111	S111	211	307	0.999	0.5
s112	S112	200	309	0.999	0.5
s113	S113	206	293	0.999	0.5
s114	S114	185	269	0.999	0.5
s115	S115	219	316	0.999	0.5
s116	S116	228	320	0.999	0.5
s117	S117	183	289	0.999	0.5
s118	S118	210	312	0.999	0.5
s119	S119	185	285	0.999	0.5
s120	S120	205	299	0.999	0.5
s121	S121	209	299	0.999	0.5
s122	S122	213	303	0.999	0.5
s123	S123	205	302	0.999	0.5
s124	S124	227	344	0.999	0.5
s125	S125	210	286	0.999	0.5
s126	S126	233	322	0.999	0.5
s127	S127	217	306	0.999	0.5
s128	S128	197	281	0.999	0.5
s129	S129	204	307	0.999	0.5
s130	S130	199	292	0.999	0.5
s131	S131	193	286	0.999	0.5
s132	S132	209	304	0.999	0.5
s133	S133	222	335	0.999	0.5
s134	S134	210	308	0.999	0.5
s135	S135	191	290	0.999	0.5
s136	S136	209	308	0.999	0.5
s137	S137	187	284	0.999	0.5
s138	S138	199	297	0.999	0.5
s139	S139	204	296	0.999	0.5
s140	S140	205	303	0.999	0.5
s141	S141	200	300	0.999	0.5
s142	S142	220	335	0.999	0.5
s143	S143	205	299	0.999	0.5
s144	S144	212	308	0.999	0.5
s145	S145	194	286	0.999	0.5
s146	S146	229	334	0.999	0.5
s147	S147	212	307	0.999	0.5
s148	S148	217	316	0.999	0.5
s149	S149	216	308	0.999	0.5
s150	S150	214	309	0.999	0.5
s151	S151	184	281	0.999	0.5
s152	S152	199	305	0.999	0.5
s153	S153	219	327	0.999	0.5
s154	S154	207	296	0.999	0.5
s155	S155	226	332	0.999	0.5
s156	S156	204	296	0.999	0.5
s157	S157	217	312	0.999	0.5
s158	S158	206	303	0.999	0.5
s159	S159	223	330	0.999	0.5
s160	S160	195	292	0.999	0.5
s161	S161	208	305	0.999	0.5
s162	S162	179	278	0.999	0.5
s163	S163	194	313	0.999	0.5
s164	S164	226	334	0.999	0.5
s165	S165	208	296	0.999	0.5
s166	S166	202	305	0.999	0.5
s167	S167	210	304	0.999	0.5
s168	S168	209	295	0.999	0.5
s169	S169	210	296	0.999	0.5
s170	S170	211	303	0.999	0.5
s171	S171	211	295	0.999	0.5
s172	S172	211	326	0.999	0.5
s173	S173	203	295	0.999	0.5
s174	S174	187	282	0.999	0.5
s175	S175	190	285	0.999	0.5
s176	S176	200	301	0.999	0.5
s177	S177	206	295	0.999	0.5
s178	S178	203	298	0.999	0.5
s179	S179	212	338	0.999	0.5
s180	S180	176	258	0.999	0.5
s181	S181	201	282	0.999	0.5
s182	S182	198	301	0.999	0.5
s183	S183	176	262	0.999	0.5
s184	S184	225	321	0.999	0.5
s185	S185	210	324	0.999	0.5
s186	S186	192	282	0.999	0.5
s187	S187	220	321	0.999	0.5
s188	S188	185	291	0.999	0.5
s189	S189	195	289	0.999	0.5
s190	S190	194	272	0.999	0.5
s191	S191	200	305	0.999	0.5
s192	S192	199	283	0.999	0.5
s193	S193	198	300	0.999	0.5
s194	S194	222	322	0.999	0.5
s195	S195	214	303	0.999	0.5
s196	S196	218	301	0.999	0.5
s197	S197	211	310	0.999	0.5
s198	S198	190	285	0.999	0.5
s199	S199	200	311	0.999	0.5
s200	S200	235	303	0.999	0.5
s201	S201	236	286	0.999	0.5
s202	S202	244	302	0.999	0.5
s203	S203	232	285	0.999	0.5
s204	S204	225	281	0.999	0.5
s205	S205	241	296	0.999	0.5
s206	S206	239	296	0.999	0.5
s207	S207	230	279	0.999	0.5
s208	S208	236	288	0.999	0.5
s209	S209	262	327	0.999	0.5
s210	S210	256	321	0.999	0.5
s211	S211	217	275	0.999	0.5
s212	S212	245	299	0.999	0.5
s213	S213	259	319	0.999	0.5
s214	S214	257	321	0.999	0.5
s215	S215	246	302	0.999	0.5
s216	S216	245	295	0.999	0.5
s217	S217	246	307	0.999	0.5
s218	S218	285	332	0.999	0.5
s219	S219	237	294	0.999	0.5
s220	S220	236	296	0.999	0.5
s221	S221	243	301	0.999	0.5
s222	S222	257	323	0.999	0.5
s223	S223	263	303	0.999	0.5
s224	S224	256	310	0.999	0.5
s225	S225	232	278	0.999	0.5
s226	S226	233	296	0.999	0.5
s227	S227	240	293	0.999	0.5
s228	S228	237	287	0.999	0.5
s229	S229	216	275	0.999	0.5
s230	S230	233	280	0.999	0.5
s231	S231	211	263	0.999	0.5
s232	S232	242	295	0.999	0.5
s233	S233	244	298	0.999	0.5
s234	S234	253	299	0.999	0.5
s235	S235	239	298	0.999	0.5
s236	S236	239	301	0.999	0.5
s237	S237	223	280	0.999	0.5
s238	S238	244	295	0.999	0.5
s239	S239	240	293	0.999	0.5
s240	S240	250	290	0.999	0.5
s241	S241	229	283	0.999	0.5
s242	S242	263	320	0.999	0.5
s243	S243	231	289	0.999	0.5
s244	S244	231	299	0.999	0.5
s245	S245	240	287	0.999	0.5
s246	S246	249	308	0.999	0.5
s247	S247	246	298	0.999	0.5
s248	S248	256	318	0.999	0.5
s249	S249	244	315	0.999	0.5
s250	S250	233	279	0.999	0.5
s251	S251	220	262	0.999	0.5
s252	S252	275	327	0.999	0.5
s253	S253	249	296	0.999	0.5
s254	S254	239	296	0.999	0.5
s255	S255	274	332	0.999	0.5
s256	S256	248	298	0.999	0.5
s257	S257	273	315	0.999	0.5
s258	S258	262	320	0.999	0.5
s259	S259	271	318	0.999	0.5
s260	S260	221	278	0.999	0.5
s261	S261	240	301	0.999	0.5
s262	S262	233	286	0.999	0.5
s263	S263	247	298	0.999	0.5
s264	S264	240	301	0.999	0.5
s265	S265	240	302	0.999	0.5
s266	S266	253	307	0.999	0.5
s267	S267	263	325	0.999	0.5
s268	S268	258	316	0.999	0.5
s269	S269	250	297	0.999	0.5
s270	S270	227	281	0.999	0.5
s271	S271	250	315	0.999	0.5
s272	S272	234	292	0.999	0.5
s273	S273	263	317	0.999	0.5
s274	S274	235	281	0.999	0.5
s275	S275	261	318	0.999	0.5
s276	S276	221	280	0.999	0.5
s277	S277	249	304	0.999	0.5
s278	S278	236	294	0.999	0.5
s279	S279	227	269	0.999	0.5
s280	S280	238	299	0.999	0.5
s281	S281	226	276	0.999	0.5
s282	S282	260	322	0.999	0.5
s283	S283	223	284	0.999	0.5
s284	S284	267	334	0.999	0.5
s285	S285	248	295	0.999	0.5
s286	S286	242	293	0.999	0.5
s287	S287	203	264	0.999	0.5
s288	S288	221	275	0.999	0.5
s289	S289	245	306	0.999	0.5
s290	S290	253	313	0.999	0.5
s291	S291	209	270	0.999	0.5
s292	S292	262	327	0.999	0.5
s293	S293	242	296	0.999	0.5
s294	S294	250	315	0.999	0.5
s295	S295	260	316	0.999	0.5
s296	S296	255	302	0.999	0.5
s297	S297	276	338	0.999	0.5
s298	S298	249	311	0.999	0.5
s299	S299	274	338	0.999	0.5
s300	S300	217	260	0.999	0.5
s301	S301	247	297	0.999	0.5
s302	S302	236	284	0.999	0.5
s303	S303	230	299	0.999	0.5
s304	S304	219	268	0.999	0.5
s305	S305	232	293	0.999	0.5
s306	S306	243	283	0.999	0.5
s307	S307	230	289	0.999	0.5
s308	S308	223	275	0.999	0.5
s309	S309	231	287	0.999	0.5
s310	S310	250	299	0.999	0.5
s311	S311	249	306	0.999	0.5
s312	S312	253	306	0.999	0.5
s313	S313	255	310	0.999	0.5
s314	S314	220	269	0.999	0.5
s315	S315	277	334	0.999	0.5
s316	S316	235	293	0.999	0.5
s317	S317	229	293	0.999	0.5
s318	S318	253	311	0.999	0.5
s319	S319	228	302	0.999	0.5
s320	S320	228	288	0.999	0.5
s321	S321	230	274	0.999	0.5
s322	S322	245	293	0.999	0.5
s323	S323	240	284	0.999	0.5
s324	S324	228	279	0.999	0.5
s325	S325	245	289	0.999	0.5
s326	S326	266	329	0.999	0.5
s327	S327	224	287	0.999	0.5
s328	S328	263	323	0.999	0.5
s329	S329	247	314	0.999	0.5
s330	S330	271	325	0.999	0.5
s331	S331	240	291	0.999	0.5
s332	S332	231	293	0.999	0.5
s333	S333	246	300	0.999	0.5
s334	S334	259	331	0.999	0.5
s335	S335	247	310	0.999	0.5
s336	S336	254	304	0.999	0.5
s337	S337	247	290	0.999	0.5
s338	S338	239	294	0.999	0.5
s339	S339	237	309	0.999	0.5
s340	S340	231	286	0.999	0.5
s341	S341	232	280	0.999	0.5
s342	S342	231	291	0.999	0.5
s343	S343	231	293	0.999	0.5
s344	S344	241	288	0.999	0.5
s345	S345	234	293	0.999	0.5
s346	S346	232	285	0.999	0.5
s347	S347	247	308	0.999	0.5
s348	S348	242	302	0.999	0.5
s349	S349	233	307	0.999	0.5
s350	S350	231	284	0.999	0.5
s351	S351	240	286	0.999	0.5
s352	S352	240	291	0.999	0.5
s353	S353	227	271	0.999	0.5
s354	S354	236	292	0.999	0.5
s355	S355	238	285	0.999	0.5
s356	S356	248	303	0.999	0.5
s357	S357	243	299	0.999	0.5
s358	S358	225	281	0.999	0.5
s359	S359	237	292	0.999	0.5
s360	S360	239	302	0.999	0.5
s361	S361	252	320	0.999	0.5
s362	S362	234	288	0.999	0.5
s363	S363	265	335	0.999	0.5
s364	S364	239	308	0.999	0.5
s365	S365	225	293	0.999	0.5
s366	S366	261	324	0.999	0.5
s367	S367	252	319	0.999	0.5
s368	S368	249	302	0.999	0.5
s369	S369	239	292	0.999	0.5
s370	S370	261	310	0.999	0.5
s371	S371	277	347	0.999	0.5
s372	S372	226	293	0.999	0.5
s373	S373	240	280	0.999	0.5
s374	S374	228	298	0.999	0.5
s375	S375	228	284	0.999	0.5
s376	S376	220	285	0.999	0.5
s377	S377	243	300	0.999	0.5
s378	S378	233	284	0.999	0.5
s379	S379	254	319	0.999	0.5
s380	S380	241	286	0.999	0.5
s381	S381	261	317	0.999	0.5
s382	S382	266	319	0.999	0.5
s383	S383	239	296	0.999	0.5
s384	S384	268	320	0.999	0.5
s385	S385	267	323	0.999	0.5
s386	S386	233	293	0.999	0.5
s387	S387	218	295	0.999	0.5
s388	S388	236	295	0.999	0.5
s389	S389	248	308	0.999	0.5
s390	S390	248	304	0.999	0.5
s391	S391	255	321	0.999	0.5
s392	S392	235	271	0.999	0.5
s393	S393	246	295	0.999	0.5
s394	S394	235	287	0.999	0.5
s395	S395	240	296	0.999	0.5
s396	S396	225	280	0.999	0.5
s397	S397	237	286	0.999	0.5
s398	S398	217	264	0.999	0.5
s399	S399	246	303	0.999	0.5
s400	S400	257	285	0.999	0.5
s401	S401	258	285	0.999	0.5
s402	S402	277	302	0.999	0.5
s403	S403	271	298	0.999	0.5
s404	S404	260	293	0.999	0.5
s405	S405	263	290	0.999	0.5
s406	S406	284	315	0.999	0.5
s407	S407	295	320	0.999	0.5
s408	S408	270	297	0.999	0.5
s409	S409	273	296	0.999	0.5
s410	S410	294	318	0.999	0.5
s411	S411	265	291	0.999	0.5
s412	S412	245	275	0.999	0.5
s413	S413	299	324	0.999	0.5
s414	S414	282	315	0.999	0.5
s415	S415	293	314	0.999	0.5
s416	S416	291	316	0.999	0.5
s417	S417	261	283	0.999	0.5
s418	S418	320	345	0.999	0.5
s419	S419	267	288	0.999	0.5
